date,item,direction,impact,sector,note,source,url
2026-07-18,VIX恐慌指数,risk,5.0,全市场,最新18.77，1日+12.19%，5日+24.88%,Yahoo Finance chart,
2026-07-18,费城半导体指数,risk,10.1,半导体/CPO/PCB/存储,最新11673.89，1日-1.63%，5日-9.97%,Yahoo Finance chart,
2026-07-18,纳斯达克指数,risk,4.1,科技成长,最新25520.24，1日-1.40%，5日-2.90%,Yahoo Finance chart,
2026-07-18,国际原油,risk,12.0,航空/化工下游,最新82.49，1日+4.48%，5日+15.52%,Yahoo Finance chart,
2026-07-18,英伟达,risk,6.0,CPO/PCB/AI服务器,最新202.81，1日-2.21%，5日-3.86%,Yahoo Finance chart,
2026-07-18,美光科技,risk,11.3,存储芯片,最新848.95，1日-0.50%，5日-13.31%,Yahoo Finance chart,
2026-07-18,台积电ADR,risk,10.2,半导体设备/晶圆制造,最新398.37，1日-2.77%，5日-8.23%,Yahoo Finance chart,
2026-07-18,AI资本开支变化,risk,12.0,CPO/PCB/AI服务器,1条新闻/1个来源：Chipmaker stocks hit by AI spending worries after rally,GDELT,https://www.moneycontrol.com/news/business/markets/chipmaker-stocks-hit-by-ai-spending-worries-after-rally-13976016.html
2026-07-18,存储价格与供需,risk,16.0,存储芯片/封测,"6条新闻/5个来源：Lawmakers want US government to ban memory chips from China , even in allied supply chains citing unacceptable risk to national , economic , and supply chain security；Explainer - What is CXMT and how did it become China DRAM champion ?；Memory Chip Competition in Automotive Industry : A Race for Market Share , ETTelecom",GDELT,https://www.tomshardware.com/pc-components/dram/lawmakers-want-us-government-to-ban-memory-chips-from-china-even-in-allied-supply-chains-citing-unacceptable-risk-to-national-economic-and-supply-chain-security
2026-07-18,中东冲突与能源运输,risk,14.0,全市场/原油/军工/黄金,"1条新闻/1个来源：Japan Nikkei slides into correction zone on tech selloff , Middle East conflict",GDELT,https://www.businesstimes.com.sg/companies-markets/japans-nikkei-slides-correction-zone-tech-selloff-middle-east-conflict
2026-07-18,美联储与利率风险,risk,12.0,高估值成长,"3条新闻/3个来源：Could the Fed and Cooling Inflation Kickstart a Bigger Bitcoin Rally in July ?；Gold Heads for Biggest Weekly Loss in Six as Middle East War Fans Inflation Worries；Gold , silver rate today live updates : Where are gold and silver prices heading ? Inflation , oil and Fed bets hold the key",GDELT,https://www.benzinga.com/crypto/cryptocurrency/26/07/60492720/could-the-fed-and-cooling-inflation-kickstart-a-bigger-bitcoin-rally-in-july
